"api","description","category","updated"
"seeme sms","bulk sms messaging service","messaging","2012-01-06"
"sendbulksms","sms service","messaging","2012-01-17"
"sendible","social media management service","messaging","2008-08-20"
"sfr mms","mobile mms service","messaging","2010-03-31"
"sfr sms","mobile sms service","messaging","2010-03-31"
"shreeweb bulk sms","bulk sms messaging service","messaging","2011-07-14"
"signal","interactive mobile and email marketing platform","messaging","2010-12-10"
"sms 55","sms messaging service","messaging","2011-05-20"
"sms action","sms messaging service","messaging","2010-04-06"
"sms everywhere messaging","sms messaging service","messaging","2010-06-15"
"sms freedom","bulk text messaging service","messaging","2011-10-07"
"sms global","sms messaging service","messaging","2011-10-28"
"smsbug","sms messaging services","messaging","2006-02-23"
"smscountry","india/south asia sms messaging service","messaging","2012-01-09"
"smsgol","sms messaging service","messaging","2009-07-13"
"smsified","sms messaging service","messaging","2011-05-17"
"smsimple","internet sms service","messaging","2011-08-29"
"smspoint","bulk sms messaging service","messaging","2010-11-01"
"smstrade","sms messaging service","messaging","2011-12-01"
"smsways","greek mobile sms service","messaging","2010-05-17"
"strikeiron global sms pro","sms messaging services","messaging","2007-03-05"
"strikeiron mobile email","mobile email messaging service","messaging","2006-09-14"
"sumotext sms gateway","sms messaging service","messaging","2012-01-30"
"tagga sms","ad support sms message service","messaging","2009-03-22"
"taykt","sms messaging service","messaging","2009-12-18"
"teleflip flipout","mobile email messaging service","messaging","2008-03-27"
"telefonica open movilforum","sms and mms message service","messaging","2010-01-29"
"telenav share","enables sending addresses from web to phone","messaging","2011-10-14"
"teliasonera messaging","sms messaging service","messaging","2010-11-30"
"teliasonera sms poll","mobile poll creation service","messaging","2010-11-30"
"teliasonera sms receive","sms messaging service","messaging","2010-11-30"
"tellmycell","sms messaging service","messaging","2010-08-18"
"textamerica","moblogs","messaging","2006-01-22"
"textanywhere","sms service","messaging","2011-01-13"
"textingit","sms messaging services","messaging","2009-06-21"
"textingly","web-based text messaging service","messaging","2011-10-02"
"textmagic","bulk sms messaging service","messaging","2009-10-16"
"textmarketer sms","sms messaging service","messaging","2010-12-17"
"textmarks sms","sms text messaging service","messaging","2008-07-31"
"tmc sms gateway","sms gateway service","messaging","2011-09-22"
"twilio sms","sms messaging service","messaging","2010-02-22"
"twittervision","location based data for the twitter service","messaging","2007-04-23"
"txtimpact","sms text messaging service","messaging","2008-12-20"
"txtlocal","group texting service","messaging","2011-10-07"
"txtmobster","mass text messaging service","messaging","2011-01-31"
"txttools","messaging service","messaging","2011-11-08"
"udefn","sms messaging service","messaging","2009-06-08"
"vazu","sms messaging service","messaging","2005-11-27"
"vianett","sms messaging service","messaging","2011-08-15"
"vodafone betavine","mobile web services","messaging","2007-06-11"
"voovox sms","sms messaging service","messaging","2011-06-08"
"x-stream.ly","realtime push messaging service","messaging","2011-10-24"
"yahoo notifications","notification functionality for yahoo accounts","messaging","2011-07-18"
"youroom","group messaging service","messaging","2011-09-22"
"youtxt","sms text messaging service","messaging","2008-02-24"
"zeep mobile","sms text messaging service","messaging","2008-09-01"
"zhoutit","local discovery service","messaging","2010-12-29"
"znisms sms","single and bulk sms service","messaging","2011-09-01"
"5gig","concert listing service","music","2009-04-16"
"7digital","music downloads store","music","2010-08-13"
"8tracks","music playlist creation service","music","2009-12-07"
"allcdcovers","music graphics service","music","2010-10-21"
"artistdata","artist information retrieval service","music","2009-12-05"
"audiobaba","music search and recommendation engine","music","2011-12-13"
"audiobox.fm","cloud-based audio management","music","2010-10-04"
"audiomicro","stock music and sound effects provider","music","2011-09-13"
"audiosocket maas","music licensing agency","music","2011-07-26"
"bandcamp","music information including track data and lyrics","music","2010-07-15"
"bandsintown","music concerts and recommendations service","music","2009-09-27"
"baskytara","bass guitar web portal","music","2011-07-07"
"bbc music","music information service","music","2009-03-19"
"beatport","electronic music downloads","music","2011-09-26"
"billboard","music chart service","music","2009-02-23"
"blip.fm","social music service","music","2008-08-23"
"bmat","music search and recommendation service","music","2009-03-14"
"cchits","creative commons music podcasts service","music","2011-03-21"
"cd universe","online cd and music retailing service","music","2012-01-05"
"chartlyrics lyric","lyrics database search service","music","2010-01-02"
"cloudspeakers","music information database","music","2009-09-30"
"comparedownload","online music download store","music","2011-02-22"
"console.fm","electronica music streaming service","music","2011-12-13"
"dance-tunes","electronic music downloads","music","2011-09-26"
"dar.fm","digital audio recording service","music","2011-10-11"
"decibel","music metadata provider","music","2011-04-23"
"digital music engine","music catalog and download service","music","2010-06-01"
"digital podcast","podcast search","music","2005-09-04"
"discogs","music database","music","2007-08-27"
"echo nest","music services for professionals","music","2008-09-20"
"emusic","music and audiobook search service","music","2010-06-09"
"extensionfm","music discovery tool","music","2011-02-28"
"faces.com","photo and media sharing service","music","2007-02-16"
"fanart.tv music","music fan art repository","music","2011-12-19"
"feedcache","feed caching service","music","2006-06-27"
"free music archive","mp3 archive","music","2011-11-08"
"freecovers.net","album cover archive","music","2011-04-29"
"freedb / cddb","online cd catalog service","music","2005-09-04"
"freesound","music and sound search service","music","2010-11-22"
"fusicology","music and progressive entertainment hub","music","2011-08-16"
"gigjunkie","music events services","music","2010-05-05"
"gigulate","music blogging service","music","2009-05-08"
"grooveshark","interact with grooveshark music data","music","2010-07-09"
"gruvr","live music and concert information","music","2007-12-31"
"guitar chord","music utility service","music","2010-08-09"
"idiomag","musical artist information service","music","2008-12-16"
"iheartradio","radio station search and player","music","2012-01-10"
"ilike","music streaming and playlist service","music","2008-09-16"
"instantencore maestro","classical music community","music","2011-10-18"
"ioda open","online music distribution database","music","2011-03-24"
"iradeo","internet radio service","music","2011-03-18"
"jambase","live music and concert information","music","2007-09-27"
"jamendo","access to a range of music related information","music","2010-03-16"
"last.fm","online radio service","music","2005-10-30"
"lazytune","music search services","music","2009-02-08"
"licensequote","music licensing service","music","2011-12-16"
"live nation event data","live music and concert information","music","2008-07-17"
"lollapalooza","music event reference","music","2011-05-06"
"lyrdb","lyrics database","music","2010-10-01"
"lyricfind","music lyrics database","music","2012-01-30"
"lyricsfly","song lyrics search engine","music","2008-01-02"
"lyricwiki","song lyrics data service","music","2008-03-16"
"maestro.fm","online music service","music","2011-07-11"
"magnatune","music subscription and streaming service","music","2011-12-19"
"medianet open mp3","music search services and music store","music","2009-07-19"
