"collegesort","citysort","representativesort","statesort","district","zip codesort"
"clinton community college - suny office of community college","plattsburgh","john m. mchugh","ny","23","12901"
"st. lawrence university","canton","john m. mchugh","ny","23","13617"
"suny college of agriculture & technology at morrisville","morrisville","john m. mchugh","ny","23","13408"
"cazenovia college","cazenovia","john m. mchugh","ny","23","13035"
"suny college of technology at canton","canton","john m. mchugh","ny","23","13617"
"colgate university","hamilton","john m. mchugh","ny","23","13346"
"paul smith's college of arts & sciences","paul smiths","john m. mchugh","ny","23","12970"
"new york chiropractic college","seneca falls","sherwood boehlert","ny","24","13148"
"wells college","aurora","sherwood boehlert","ny","24","13026"
"hobart and william smith colleges","geneva","sherwood boehlert","ny","24","14456"
"clarkson university","potsdam","sherwood boehlert","ny","24","13699"
"utica school of commerce","utica","sherwood boehlert","ny","24","13501"
"herkimer county community college - suny office of community","herkimer","sherwood boehlert","ny","24","13350"
"tompkins cortland community college","dryden","sherwood boehlert","ny","24","13053"
"cayuga  community college - suny office of community college","auburn","sherwood boehlert","ny","24","13021"
"suny college at oneonta","oneonta","sherwood boehlert","ny","24","13820"
"state university of new york institute of technology at utic","utica","sherwood boehlert","ny","24","13502"
"saint elizabeth medical center","utica","sherwood boehlert","ny","24","13501"
"hamilton college","clinton","sherwood boehlert","ny","24","13323"
"suny college at cortland","cortland","sherwood boehlert","ny","24","13045"
"plattsburgh state university of new york","plattsburgh","sherwood boehlert","ny","24","12901"
"hartwick college","oneonta","sherwood boehlert","ny","24","13820"
"utica college","utica","sherwood boehlert","ny","24","13502"
"mohawk valley community college - suny office of community c","utica","sherwood boehlert","ny","24","13501"
"syracuse university","syracuse","james t. walsh","ny","25","13244"
"suny college of environment science & forestry","syracuse","james t. walsh","ny","25","13210"
"simmons institute of funeral service","syracuse","james t. walsh","ny","25","13207"
"onondaga community college","syracuse","james t. walsh","ny","25","13215"
"state university of new york upstate medical university","syracuse","james t. walsh","ny","25","13210"
"bryant & stratton business institute - syracuse","syracuse","james t. walsh","ny","25","13203"
"davis college","johnson city","james t. walsh","ny","25","13790"
"le moyne college","syracuse","james t. walsh","ny","25","13214"
"crouse  hospital school of nursing","syracuse","james t. walsh","ny","25","13210"
"saint joseph's college of nursing at st joseph's hospital he","syracuse","james t. walsh","ny","25","13203"
"suny college at brockport","brockport","thomas m. reynolds","ny","26","14420"
"niagara county community college","sanborn","thomas m. reynolds","ny","26","14132"
"bryant & stratton business institute - rochester","rochester","thomas m. reynolds","ny","26","14606"
"state university of new york at buffalo","buffalo","thomas m. reynolds","ny","26","14260"
"genesee community college","batavia","thomas m. reynolds","ny","26","14020"
"state university of ny college of arts & sciences at geneseo","geneseo","thomas m. reynolds","ny","26","14454"
"daemen college","amherst","thomas m. reynolds","ny","26","14226"
"d'youville college","buffalo","brian higgins","ny","27","14201"
"christ the king seminary","east aurora","brian higgins","ny","27","14052"
"jamestown community college","jamestown","brian higgins","ny","27","14701"
"trocaire college","buffalo","brian higgins","ny","27","14220"
"erie community college","buffalo","brian higgins","ny","27","14203"
"hilbert college","hamburg","brian higgins","ny","27","14075"
"villa maria college of buffalo","buffalo","brian higgins","ny","27","14225"
"medaille college","buffalo","brian higgins","ny","27","14214"
"bryant & stratton business institute","buffalo","brian higgins","ny","27","14203"
"suny college at fredonia","fredonia","brian higgins","ny","27","14063"
"jamestown business college","jamestown","brian higgins","ny","27","14702"
"suny college at buffalo","buffalo","brian higgins","ny","27","14222"
"canisius college","buffalo","brian higgins","ny","27","14208"
"rochester business institute","rochester","louise mcintosh slaughter","ny","28","14621"
"talmudical institute of upstate new york","rochester","louise mcintosh slaughter","ny","28","14607"
"saint bernard's school of theology and ministry","rochester","louise mcintosh slaughter","ny","28","14620"
"niagara university","niagara university","louise mcintosh slaughter","ny","28","14109"
"university of rochester","rochester","louise mcintosh slaughter","ny","28","14627"
"colgate rochester crozer divinity school","rochester","louise mcintosh slaughter","ny","28","14620"
"corning community college - suny office of community college","corning","john r. ``randy'' kuhl jr.","ny","29","14830"
"saint bonaventure university","saint bonaventure","john r. ``randy'' kuhl jr.","ny","29","14778"
"northeastern seminary","rochester","john r. ``randy'' kuhl jr.","ny","29","14624"
"monroe community college","rochester","john r. ``randy'' kuhl jr.","ny","29","14623"
"keuka college","keuka park","john r. ``randy'' kuhl jr.","ny","29","14478"
"elmira college","elmira","john r. ``randy'' kuhl jr.","ny","29","14901"
"alfred university","alfred","john r. ``randy'' kuhl jr.","ny","29","14802"
"olean business institute","olean","john r. ``randy'' kuhl jr.","ny","29","14760"
"roberts wesleyan college","rochester","john r. ``randy'' kuhl jr.","ny","29","14624"
"saint john fisher college","rochester","john r. ``randy'' kuhl jr.","ny","29","14618"
"finger lakes community college - suny office of community co","canandaigua","john r. ``randy'' kuhl jr.","ny","29","14424"
"elmira business institute","elmira","john r. ``randy'' kuhl jr.","ny","29","14901"
"suny college of technology at alfred","alfred","john r. ``randy'' kuhl jr.","ny","29","14802"
"houghton college","houghton","john r. ``randy'' kuhl jr.","ny","29","14744"
"rochester institute of technology","rochester","john r. ``randy'' kuhl jr.","ny","29","14623"
"nazareth college of rochester","rochester","john r. ``randy'' kuhl jr.","ny","29","14618"
"god's bible school & college","cincinnati","steve chabot","oh","1","45202"
"art institute of cincinnati (the)","cincinnati","steve chabot","oh","1","45246"
"cincinnati state technical & community college","cincinnati","steve chabot","oh","1","45223"
"aec southern ohio college","cincinnati","steve chabot","oh","1","45215"
"union institute & university","cincinnati","steve chabot","oh","1","45206"
"college of mount saint joseph","cincinnati","steve chabot","oh","1","45233"
"university of cincinnati","cincinnati","steve chabot","oh","1","45221"
"college of art advertising","cincinnati","steve chabot","oh","1","45211"
"cincinnati bible college and seminary","cincinnati","steve chabot","oh","1","45204"
"cincinnati college of mortuary science","cincinnati","steve chabot","oh","1","45224"
"hebrew union college - jewish institute of religion","cincinnati","steve chabot","oh","1","45220"
"xavier university","cincinnati","steve chabot","oh","1","45207"
"art academy of cincinnati","cincinnati","vacant","oh","2","45202"
"antonelli college","cincinnati","vacant","oh","2","45202"
"shawnee state university","portsmouth","vacant","oh","2","45662"
"chatfield college","saint martin","vacant","oh","2","45118"
"rets tech center","centerville","michael r. turner","oh","3","45459"
"kettering college of medical arts","kettering","michael r. turner","oh","3","45429"
"southwestern college of business","dayton","michael r. turner","oh","3","45402"
"wilmington college","wilmington","michael r. turner","oh","3","45177"
"school of advertising art","kettering","michael r. turner","oh","3","45440"
"itt technical institute","dayton","michael r. turner","oh","3","45414"
"sinclair community college","dayton","michael r. turner","oh","3","45402"
"southern state community college","hillsboro","michael r. turner","oh","3","45133"
"university of dayton","dayton","michael r. turner","oh","3","45469"
"ohio institute of photography & technology","dayton","michael r. turner","oh","3","45439"
"united theological seminary","dayton","michael r. turner","oh","3","45406"
"miami - jacobs career college","dayton","michael r. turner","oh","3","45402"
"james a. rhodes state college","lima","michael g. oxley","oh","4","45804"
"marion technical college","marion","michael g. oxley","oh","4","43302"
"university of findlay (the)","findlay","michael g. oxley","oh","4","45840"
"ohio northern university","ada","michael g. oxley","oh","4","45810"
"north central state college","mansfield","michael g. oxley","oh","4","44906"
"urbana university","urbana","michael g. oxley","oh","4","43078"
"aec southern ohio college","findlay","michael g. oxley","oh","4","45840"
"university of northwestern ohio","lima","michael g. oxley","oh","4","45805"
"medcentral college of nursing","mansfield","michael g. oxley","oh","4","44903"
"winebrenner theological seminary","findlay","michael g. oxley","oh","4","45840"
"bluffton college","bluffton","michael g. oxley","oh","4","45817"
"owens state community college","perrysburg","paul e. gillmor","oh","5","43551"
"terra state community college","fremont","paul e. gillmor","oh","5","43420"
"tiffin university","tiffin","paul e. gillmor","oh","5","44883"
"defiance college","defiance","paul e. gillmor","oh","5","43512"
"bowling green state university","bowling green","paul e. gillmor","oh","5","43403"
"heidelberg college","tiffin","paul e. gillmor","oh","5","44883"
"northwest state community college","archbold","paul e. gillmor","oh","5","43502"
"ohio university","athens","ted strickland","oh","6","45701"
"allegheny wesleyan college","salem","ted strickland","oh","6","44460"
"ohio valley college of technology","east liverpool","ted strickland","oh","6","43920"
"marietta college","marietta","ted strickland","oh","6","45750"
"university of rio grande","rio grande","ted strickland","oh","6","45674"
"franciscan university of steubenville","steubenville","ted strickland","oh","6","43952"
"washington state community college","marietta","ted strickland","oh","6","45750"
"gallipolis career college","gallipolis","ted strickland","oh","6","45631"
"jefferson community college","steubenville","ted strickland","oh","6","43952"
